,Name,Max Temp,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Wind Speed
69,Ushuaia,53.6,55,AR,04/09/2020,71,-54.8,-68.3,16.11
70,Thompson,15.8,90,CA,04/09/2020,78,55.74,-97.86,12.75
71,Xinzhi,63.48,68,CN,04/09/2020,38,36.5,111.7,8.25
72,Dikson,22.95,78,RU,04/09/2020,97,73.51,80.55,22.59
73,Hay River,23.0,75,CA,04/09/2020,57,60.82,-115.8,12.75
74,Ponta do Sol,66.2,75,PT,04/09/2020,88,32.67,-17.1,3.36
75,Heidelberg,61.0,93,ZA,04/09/2020,87,-26.5,28.36,13.42
76,Tilichiki,14.47,26,RU,04/09/2020,92,60.47,166.1,3.85
77,Homer,32.0,1,US,04/09/2020,54,59.64,-151.55,9.17
78,Weligama,90.16,2,LK,04/09/2020,54,5.97,80.42,6.02
79,Sitka,41.0,90,US,04/09/2020,65,57.05,-135.33,14.99
80,Kavaratti,89.6,20,IN,04/09/2020,59,10.57,72.64,5.82
81,Dordrecht,55.99,2,NL,04/09/2020,81,51.81,4.67,4.7
82,Tarko-Sale,24.48,100,RU,04/09/2020,97,64.92,77.78,27.18
83,Aklavik,10.4,20,CA,04/09/2020,60,68.22,-135.01,5.66
84,Castro,56.5,63,BR,04/09/2020,66,-24.79,-50.01,4.27
85,Jamestown,51.8,90,US,04/09/2020,61,42.1,-79.24,4.7
86,Nikolskoye,46.99,100,RU,04/09/2020,63,59.7,30.79,8.95
87,‘Ewa Beach,75.2,90,US,04/09/2020,78,21.32,-158.01,5.82
88,Bahār,44.6,75,IR,04/09/2020,81,34.91,48.44,11.41
89,Dunedin,55.99,100,NZ,04/09/2020,75,-45.87,170.5,1.99
90,George Town,91.4,40,MY,04/09/2020,79,5.41,100.34,10.29
91,Butaritari,84.45,67,KI,04/09/2020,77,3.07,172.79,15.28
92,Iqaluit,8.6,90,CA,04/09/2020,78,63.75,-68.51,3.36
93,Hobart,66.0,1,AU,04/09/2020,63,-42.88,147.33,6.93
94,Biak,83.28,24,ID,04/09/2020,69,-0.91,122.88,4.74
95,Santa Maria,47.82,0,BR,04/09/2020,86,-29.68,-53.81,1.41
96,Kapaa,71.6,90,US,04/09/2020,83,22.08,-159.32,4.7
97,Punta Arenas,53.6,100,CL,04/09/2020,76,-53.15,-70.92,9.17
